Москва,sale,flat,22,31,3,83.0,-1,0,52000000,Раменки, Лобачевского,120к1,Аминьевская,Крылья,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,27,1,45.7,-1,0,21798900,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,29,4,144.6,-1,0,57840000,Якиманка,Мытная ,40к3,Шаболовская,Sky House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,6,41,2,64.8,-1,0,32937840,Даниловский,Большая Тульская ,10С5,Тульская,Мангазея на Тульской,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,8,4,92.0,-1,0,60000000,Басманный,Нижняя Красносельская ,35С50,Бауманская,TriBeCa APARTMENTS,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,7,8,2,121.8,-1,0,141031579,Арбат, Арбат,24,Смоленская,Turandot Residences,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,29,4,152.8,-1,0,61120000,Якиманка,Мытная ,40к3,Шаболовская,Sky House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,8,9,1,57.6,-1,0,117936000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,10,29,4,156.4,-1,0,63650000,Якиманка,Мытная ,40к3,Шаболовская,Sky House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,10,13,2,50.0,-1,0,29946000,Замоскворечье,Большой Строченовский переулок,9,Павелецкая,Резиденции Замоскворечье,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,9,12,2,99.0,-1,0,96750000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,21,1,65.9,-1,0,82172522,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,17,3,105.0,-1,0,130000000,Пресненский, Сергея Макеева,9к2,Улица 1905 года,RedSide,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,10,13,2,64.5,-1,0,38046348,Даниловский, Даниловский Вал,1А,Тульская,Logos,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,6,7,2,96.0,-1,0,260000000,Хамовники, Льва Толстого,23к7с3,Парк Культуры,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,4,20,2,45.2,-1,0,42036000,Пресненский, Красная Пресня,3,Краснопресненская,SkyView,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,12,5,290.0,-1,0,280000000,Раменки, Улофа Пальме,7,Минская,Lake House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,33,2,64.67,-1,0,37928955,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,11,11,4,303.0,-1,0,501000000,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,7,2,134.71,-1,0,323304000,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,21,3,120.0,-1,0,115000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,78,2,54.9,-1,0,46939500,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,Нет информации,Не указано,Не указано,Не указано,Не указано
